epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6425,1.55585,2.76501,1.3678,0.81569,0.2321,0.18181,0.13871,1.0397,1.73415,1.05641,0.000221734,0.000221734,0.000221734
2,128.633,1.45602,1.94837,1.31624,0.82677,0.21624,0.20976,0.14493,1.08419,1.55865,1.08766,0.000435275,0.000435275,0.000435275
3,191.462,1.44311,1.65315,1.31635,0.42493,0.31567,0.20829,0.14649,1.08691,2.00509,1.08928,0.000640011,0.000640011,0.000640011
4,254.158,1.40105,1.47672,1.30053,0.40666,0.28238,0.20181,0.15006,1.05942,1.75788,1.09323,0.00062738,0.00062738,0.00062738
5,316.798,1.37467,1.36313,1.28171,0.50199,0.2946,0.21743,0.15593,1.05418,1.63163,1.08548,0.000614174,0.000614174,0.000614174
6,379.285,1.32292,1.26196,1.26499,0.43513,0.33158,0.25867,0.17358,1.06252,1.19455,1.08679,0.000600967,0.000600967,0.000600967
7,442.014,1.2977,1.22316,1.24438,0.44459,0.30354,0.23676,0.1694,0.97267,1.37581,1.02568,0.00058776,0.00058776,0.00058776
8,504.496,1.27897,1.19468,1.2387,0.332,0.3628,0.27553,0.18553,0.97975,1.1744,1.02896,0.000574554,0.000574554,0.000574554
9,567.098,1.27414,1.13731,1.23358,0.36293,0.37299,0.26753,0.18228,0.96943,1.32546,1.01496,0.000561347,0.000561347,0.000561347
10,629.287,1.26683,1.12232,1.22455,0.54485,0.28316,0.28114,0.19162,0.95286,1.25276,1.01133,0.000548141,0.000548141,0.000548141
11,691.42,1.23387,1.08393,1.21391,0.40364,0.35017,0.23892,0.17017,0.98363,1.51644,1.02791,0.000534934,0.000534934,0.000534934
12,754.169,1.23323,1.06415,1.21591,0.36771,0.39141,0.27901,0.19231,0.9486,1.21976,1.01078,0.000521727,0.000521727,0.000521727
13,817.819,1.22951,1.05592,1.20576,0.52558,0.33547,0.27381,0.18849,1.00274,1.48985,1.04909,0.000508521,0.000508521,0.000508521
14,880.965,1.19944,1.01061,1.19551,0.5925,0.35354,0.31883,0.21421,0.92292,1.28425,1.00451,0.000495314,0.000495314,0.000495314
15,943.706,1.19104,0.99781,1.19262,0.60887,0.39741,0.3275,0.21963,0.90666,1.24905,1.00206,0.000482108,0.000482108,0.000482108
16,1006.6,1.1692,0.95453,1.1815,0.48158,0.37921,0.30643,0.20782,0.90708,1.2898,1.0043,0.000468901,0.000468901,0.000468901
17,1070.13,1.16812,0.96537,1.18627,0.57426,0.41038,0.31385,0.21083,0.90466,1.28371,0.99296,0.000455694,0.000455694,0.000455694
18,1134.8,1.16654,0.93161,1.17082,0.51006,0.38935,0.35728,0.24203,0.93259,1.31871,1.00363,0.000442488,0.000442488,0.000442488
19,1198.79,1.15279,0.91251,1.16875,0.67129,0.40148,0.35813,0.23899,0.8776,1.24039,0.99186,0.000429281,0.000429281,0.000429281
20,1262.71,1.16827,0.91526,1.17193,0.56796,0.39264,0.35387,0.23812,0.8833,1.17152,0.99159,0.000416075,0.000416075,0.000416075
21,1325.55,1.13947,0.90311,1.16391,0.65393,0.44271,0.37491,0.24578,0.93517,1.19296,1.00456,0.000402868,0.000402868,0.000402868
22,1389.18,1.13047,0.87025,1.15802,0.66704,0.46393,0.38435,0.25796,0.89342,1.26862,0.99395,0.000389661,0.000389661,0.000389661
23,1452.71,1.12234,0.86345,1.14699,0.53176,0.4414,0.34612,0.23616,0.8913,1.49043,0.98826,0.000376455,0.000376455,0.000376455
24,1516.4,1.11466,0.83665,1.15293,0.6388,0.47219,0.39652,0.26504,0.87686,1.37097,0.98841,0.000363248,0.000363248,0.000363248
25,1580.64,1.11693,0.84498,1.14835,0.59503,0.47352,0.36326,0.24114,0.88749,1.24966,0.9879,0.000350042,0.000350042,0.000350042
26,1643.82,1.10303,0.83589,1.14195,0.6733,0.46328,0.41439,0.27276,0.89088,1.27302,0.98945,0.000336835,0.000336835,0.000336835
